Datum Zeit; Annaberg-Buchholz PM10; Bautzen PM10; Borna PM10; Brockau PM10
; µg/m³; µg/m³; µg/m³; µg/m³
06-08-16; 11; 12; n. def.; n. def.
05-08-16; 8; 11; n. def.; n. def.
04-08-16; 12; 12; n. def.; n. def.
03-08-16; 5; 6; n. def.; n. def.
02-08-16; 7; 8; n. def.; n. def.
01-08-16; 8; 9; n. def.; n. def.
31-07-16; 8; 11; n. def.; n. def.
30-07-16; 7; 9; n. def.; n. def.
29-07-16; 9; 12; n. def.; n. def.
28-07-16; 14; 20; n. def.; n. def.
27-07-16; 15; 22; n. def.; n. def.
26-07-16; 21; 23; n. def.; n. def.
25-07-16; 20; 21; n. def.; n. def.
24-07-16; 20; 18; n. def.; n. def.
23-07-16; 19; 17; n. def.; n. def.
22-07-16; 14; 19; n. def.; n. def.
21-07-16; 12; 13; n. def.; n. def.
20-07-16; 10; 11; n. def.; n. def.
19-07-16; 10; 9; n. def.; 13
18-07-16; 10; 12; 15; 13
17-07-16; 11; 14; 13; 11
16-07-16; 12; 12; 15; 11
15-07-16; 5; 6; 10; 10
14-07-16; 8; 8; 11; 8
13-07-16; 9; 13; 12; 10
12-07-16; 10; 14; 16; 15
11-07-16; 12; 11; 17; 17
10-07-16; 11; 10; 13; 11
09-07-16; 11; 12; 15; 14
08-07-16; 10; 12; 16; 13
07-07-16; 8; 10; 15; 8
06-07-16; 7; 9; 15; 11
05-07-16; 12; 9; 15; 9
04-07-16; 7; 8; 13; 9
03-07-16; 5; 8; 9; 6
02-07-16; 7; 9; 9; 8
01-07-16; 9; 10; 16; 12
30-06-16; 8; 8; 13; 11
29-06-16; 7; 7; 10; 9
28-06-16; 8; 11; 13; 9
27-06-16; 9; 9; 13; 7
26-06-16; 7; 8; 9; 7
25-06-16; 22; 24; 20; 14
24-06-16; 19; 18; 22; 19
23-06-16; 12; 11; 17; 13
22-06-16; 9; 8; 13; 8
21-06-16; 6; 9; 9; 6
20-06-16; 11; 13; 15; 13
19-06-16; 7; 9; 9; 7
18-06-16; 6; 6; 8; 6
17-06-16; 6; 7; 9; 5
